ISSUE DATE,ISIN,COUPON,YIELD,MATURITY DATE,2022-01-010,2022-01-011,2022-01-012,2022-01-013,2022-01-014,2022-01-017,2022-01-018,2022-01-019,2022-01-020,2022-01-021,,
10/11/2016,CA135087G328, 0.0050 , 0.0021 ,2022-03-01,100.04,100.03,100.03,100.03,100.02,100.02,100,100.01,100,100.01,,
5/4/2020,CA135087L286,0.003,0.0061,2022-08-01,99.8,99.79,99.78,99.77,99.76,99.72,99.7,99.7,99.72,99.74,,
10/26/2020,CA135087L773,0.003,0.0091,2023-02-01,99.31,99.26,99.29,99.28,99.26,99.18,99.12,99.1,99.15,99.2,,
5/14/2021,CA135087M359,0.003,0.0103,2023-08-01,98.808,98.8,98.78,98.736,98.61,98.61,98.553,98.549,98.558,98.611,,
10/22/2021,CA135087M920,0.008,0.0115,2024-02-01,99.2,99.2,99.16,99.13,99.09,98.92,98.84,98.84,98.83,98.9,,
7/12/2021,CA135087M508, 0.008 , 0.013 ,2024-10-01,98.55,98.56,98.53,98.485,98.44,98.205,98.115,98.125,98.14,98.275,,
10/11/2019,CA135087K528,0.013,0.0137,2025-03-01,99.64,99.67,99.61,99.59,99.49,99.25,99.12,99.11,99.1,99.26,,
4/3/2020,CA135087K940,0.005,0.0143,2025-09-01,96.81,96.81,96.77,96.77,96.68,96.43,96.26,96.2,96.19,96.31,,
10/9/2020,CA135087L518,0.003,0.0148,2026-03-01,95.11,95.17,95.12,95.14,95.04,94.75,94.53,94.5,94.52,94.7,,
4/16/2021,CA135087L930,0.010,0.0152,2026-09-01,97.66,97.7,97.67,97.695,97.585,97.24,97.02,96.096,97,97.225,,
